03/16/2023                                                               Dynamic List Display                                                                       1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Order     |Material      |Target qty|    WBS Element|Occ.|Order Type|MRP ctrlr|Plant|Bsc start |System Status                          |Material description       |
|1000903299|1210027B-X205C|        1 |D-1210027-10372|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903321|1210027B-X205C|        1 |D-1210027-10404|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903664|1210027B-X205C|        1 |D-1210027-10737|02  |PP01      |003      |HS01 |03/14/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903668|1210027B-X205C|        3 |D-1210027-10849|02  |PP01      |003      |HS01 |03/14/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993474   |1210027B-X205C|        2 |D-1210027-11068|02  |PR        |003      |HS01 |03/15/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3997857   |1210027B-X205C|       11 |D-1210027-10849|02  |PR        |003      |HS01 |03/15/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000903365|1210027B-X208B|        1 |D-1210027-10667|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903368|1210027B-X208B|        1 |D-1210027-10885|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993500   |1210027B-X208B|       10 |D-1210027-10885|02  |PR        |003      |HS01 |03/13/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000902931|1210027B-X209A|        1 |D-1210027-10773|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000902933|1210027B-X209A|        1 |D-1210027-10593|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000902935|1210027B-X209A|        4 |D-1210027-10811|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000902983|1210027B-X209A|        5 |D-1210027-10811|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903396|1210027B-X209A|       12 |D-1210027-10811|02  |PP01      |003      |HS01 |03/13/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993508   |1210027B-X209A|        1 |D-1210027-10266|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993509   |1210027B-X209A|        1 |D-1210027-10440|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993511   |1210027B-X209A|        4 |D-1210027-11030|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3997464   |1210027B-X209A|        7 |D-1210027-10811|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000902966|1210027B-X209F|        1 |D-1210027-10266|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000902984|1210027B-X209F|        5 |D-1210027-10849|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903040|1210027B-X209F|       12 |D-1210027-10849|02  |PP01      |003      |HS01 |03/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903075|1210027B-X209F|       11 |D-1210027-10849|02  |PP01      |003      |HS01 |03/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903367|1210027B-X209F|        3 |D-1210027-10849|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903428|1210027B-X209F|        1 |D-1210027-10849|02  |PP01      |003      |HS01 |03/13/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993518   |1210027B-X209F|        2 |D-1210027-10304|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993519   |1210027B-X209F|        2 |D-1210027-10340|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993520   |1210027B-X209F|        2 |D-1210027-10372|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993521   |1210027B-X209F|        2 |D-1210027-10404|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993522   |1210027B-X209F|        1 |D-1210027-10440|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993523   |1210027B-X209F|        1 |D-1210027-10593|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993524   |1210027B-X209F|        2 |D-1210027-10631|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993525   |1210027B-X209F|        2 |D-1210027-10667|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993526   |1210027B-X209F|        2 |D-1210027-10702|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993527   |1210027B-X209F|        2 |D-1210027-10737|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993528   |1210027B-X209F|        1 |D-1210027-10773|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993529   |1210027B-X209F|       28 |D-1210027-10811|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993531   |1210027B-X209F|       56 |D-1210027-10885|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993532   |1210027B-X209F|        4 |D-1210027-11030|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993533   |1210027B-X209F|        8 |D-1210027-11068|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993534   |1210027B-X209F|        8 |D-1210027-11104|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3999286   |1210027B-X209F|        1 |D-1210027-10849|02  |PR        |003      |HS01 |03/16/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
